,age,fnlwgt,hours-per-week,investment-status,workclass,education,marital-status,occupation,relationship,race,sex,native-country,earnings
38114,0.16304228194063816,-0.3764953171638868,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Other-service,Spouse,White, Male,North-America,-1
39215,1.3142825530140303,-0.9843555942195575,-1.2489011615372145,-0.12710540458386055,Other,Graduates,Once-Married,Prof-specialty,Not-in-family,White, Female,North-America,-1
44249,-0.5564828874802319,0.27431202110210573,-0.024189968553741305,0.7165476388075652,Government,Undergrad-complete,Never-married,Prof-specialty,Own-child,White, Female,North-America,-1
10283,1.1703775191298562,-0.19208114703834964,-1.657138225865039,-0.12710540458386055,Private,Associates,Married,Blue-Collar,Spouse,White, Male,North-America,-1
26724,1.4581875868982042,-0.4070434360164169,-0.024189968553741305,-0.12710540458386055,Other,Compulsory-education-incomplete,Married,Other-service,Spouse,White, Male,North-America,-1
20996,-0.700387921364406,-0.8250986984431629,0.38404709577408314,0.41315773577455583,Other,Undergrad-incomplete,Married,Exec-managerial,Other,White, Male,North-America,1
33772,0.4508523497089862,-0.12422270964921536,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-incomplete,Once-Married,Blue-Collar,Not-in-family,White, Male,North-America,-1
24651,0.23499479888272515,-0.4968908444062114,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Married,Other-service,Spouse,White, Male,North-America,1
36399,-1.204055539959015,-0.14691154467312242,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Married,Exec-managerial,Spouse,Black, Male,North-America,-1
37690,1.2423300360719431,0.29394604424075976,1.282168637295297,-0.12710540458386055,Government,Graduates,Married,Blue-Collar,Spouse,White, Male,North-America,-1
41337,0.23499479888272515,-0.249261929262002,0.7922841601019075,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Blue-Collar,Not-in-family,White, Male,North-America,-1
6384,-0.2686728197118839,-1.4443364946875623,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Married,Prof-specialty,Spouse,White, Male,North-America,1
44416,-0.05281526888562287,-0.10759621028613549,1.6087582887575564,-0.37063030848002765,Private,Undergrad-incomplete,Married,Sales,Spouse,White, Male,North-America,1
7110,-0.3406253366539709,-0.13230897640429687,0.7922841601019075,-0.12710540458386055,Government,Undergrad-incomplete,Never-married,Other-service,Not-in-family,White, Male,North-America,1
6613,-1.132103023016928,0.28647452291150316,-0.1058373814193062,-0.12710540458386055,Private,Compulsory-education-incomplete,Never-married,Blue-Collar,Other,White, Male,North-America,-1
8467,0.37889983276689915,-0.25116291127109136,-0.024189968553741305,-0.12710540458386055,Government,Graduates,Married,Prof-specialty,Spouse,White, Male,North-America,1
47082,0.16304228194063816,-0.2325030231918214,1.2005212244297319,-0.4245827151095275,Other,Graduates,Married,Prof-specialty,Spouse,White, Male,North-America,1
19359,-0.7723404383064929,0.3888721956100616,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Adm-clerical,Not-in-family,White, Female,North-America,-1
27710,0.9545199683035952,1.1856768436985023,0.7922841601019075,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America,1
40077,-0.3406253366539709,-0.48852084899305687,0.38404709577408314,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Blue-Collar,Own-child,White, Male,North-America,-1
5007,1.7459976546665523,1.008034330878975,-0.024189968553741305,1.1792080025071119,Other,Undergrad-complete,Married,Sales,Spouse,White, Male,North-America,1
