id,age,fnlwgt,hours-per-week,investment-status,workclass,education,marital-status,occupation,relationship,race,sex,native-country
261,0.5228048666510732,-0.055021289945202057,1.118873811564167,-0.12710540458386055,Private,Compulsory-education-complete,Once-Married,Blue-Collar,Not-in-family,White, Male,North-America
2296,-1.3479605738431888,-0.6773422709406618,-1.2489011615372143,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Adm-clerical,Own-child,White, Male,North-America
4025,0.38341305216596616,1.374001838877381,-0.024189968553741302,-0.2215388933714294,Government,Compulsory-education-complete,Married,Exec-managerial,Spouse,White, Female,North-America
1673,0.16304228194063816,0.9013618130654496,-0.024189968553741302,-0.12710540458386055,Private,Undergrad-complete,Married,Adm-clerical,Spouse,White, Male,North-America
3166,-0.40532783472825307,-0.39207113495237106,0.7922841601019075,-0.36449584570144056,Private,Graduates,Married,Prof-specialty,Spouse,White, Male,North-America
2757,-0.7723404383064929,0.046875128790760674,-0.26913220715043595,-0.12710540458386055,Private,Compulsory-education-complete,Married,Other-service,Not-in-family,White, Female,North-America
2211,0.019137248056464138,0.16185143866389032,-0.024189968553741302,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Female,North-America
3694,1.15771316338661,-0.6248961428699249,0.6485766254679957,1.7235360502143262,Other,Undergrad-complete,Married,Exec-managerial,Spouse,White, Male,North-America
2939,1.0697396391951979,-0.1525228952872439,-0.024189968553741302,-0.12710540458386055,Government,Associates,Married,Other-service,Spouse,White, Male,North-America
2208,1.1703775191298562,-0.6326550072941588,0.7922841601019075,1.7235360502143262,Private,Undergrad-complete,Married,Exec-managerial,Spouse,White, Male,North-America
2459,-0.05281526888562287,0.5370069279899933,-0.024189968553741302,-0.12710540458386055,Private,Compulsory-education-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America
2102,0.6667099005352471,2.3061307720508544,-0.024189968553741302,-0.12710540458386055,Government,Graduates,Married,Prof-specialty,Spouse,White, Male,North-America
