id,age,fnlwgt,hours-per-week,investment-status,workclass,education,marital-status,occupation,relationship,race,sex,native-country
2250,1.026472485245682,-0.3027826117965122,-0.024189968553741302,-0.12710540458386055,Private,Compulsory-education-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America
2885,-0.05281526888562287,1.1118884773556417,-0.024189968553741302,-0.12710540458386055,Private,Undergrad-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America
2690,0.7386624174773342,-1.1035216306102322,-0.024189968553741302,-0.12710540458386055,Private,Compulsory-education-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America
3614,0.5228048666510732,1.1642837028797954,0.6289893343707778,-0.12710540458386055,Government,Undergrad-incomplete,Once-Married,Adm-clerical,Unmarried,White, Female,North-America
2486,-1.0601505060748408,0.4166586888573475,0.7922841601019075,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Adm-clerical,Own-child,White, Male,North-America
1746,-1.491865607727363,-0.4166334646592855,-2.6369071802518183,-0.12710540458386055,Other,Compulsory-education-complete,Never-married,Other-service,Own-child,White, Female,North-America
1184,-0.5564828874802319,-0.4501891072873898,-0.024189968553741302,-0.12710540458386055,Private,Undergrad-incomplete,Married,Exec-managerial,Spouse,White, Male,North-America
3921,0.5947573835931602,-1.3656301649381024,-0.024189968553741302,-0.12710540458386055,Private,Compulsory-education-incomplete,Never-married,Adm-clerical,Unmarried,Black, Female,North-America
3484,0.5947573835931602,-0.2933533627265517,-0.024189968553741302,-0.12710540458386055,Government,Compulsory-education-complete,Married,Adm-clerical,Unmarried,White, Female,North-America
2794,1.026472485245682,1.8452608551208876,-0.024189968553741302,0.7718550145533309,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America
711,-0.4845303705381449,-0.1650323483020536,-0.024189968553741302,-0.12710540458386055,Private,Undergrad-incomplete,Once-Married,Sales,Unmarried,White, Female,North-America
1824,-0.988197989132754,1.0899278792207887,-0.024189968553741302,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America
2552,-0.12476778582770988,-0.11535146027346513,-0.024189968553741302,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America
3035,-1.419913090785276,-0.9837030183059896,-1.2489011615372143,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Other-service,Own-child,White, Female,North-America
564,0.6667099005352471,-0.2234520789992916,0.7922841601019075,-0.31975737711476865,Private,Undergrad-incomplete,Once-Married,Exec-managerial,Not-in-family,White, Male,North-America
3625,-0.7723404383064929,-0.22319672320702585,-0.024189968553741302,-0.12710540458386055,Government,Graduates,Never-married,Prof-specialty,Not-in-family,White, Female,North-America
44,-0.4125778535960579,-0.3435165894738643,-0.024189968553741302,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Blue-Collar,Unmarried,White, Male,North-America
3479,0.8106149344194212,-0.1340870093282212,-0.8406640972093902,-0.12710540458386055,Other,Compulsory-education-complete,Married,Sales,Spouse,White, Female,North-America
1698,-0.988197989132754,-0.7623473768993432,-0.024189968553741302,-0.12710540458386055,Private,Associates,Never-married,Exec-managerial,Own-child,White, Male,North-America
1496,-1.56381812466945,-1.4867350138256097,-0.6773692714782604,-0.12710540458386055,Private,Compulsory-education-incomplete,Never-married,Blue-Collar,Own-child,White, Male,North-America
1768,-0.2686728197118839,-0.3766939272245379,0.7922841601019075,12.190672473369007,Private,Graduates,Married,Prof-specialty,Spouse,White, Male,North-America
3784,0.23499479888272515,0.006774811783105022,-0.024189968553741302,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America
806,1.1703775191298562,-0.5019222992760399,0.3840470957740832,-0.3706303084800277,Other,Compulsory-education-complete,Married,Exec-managerial,Spouse,White, Male,North-America
2198,0.30694731582481216,0.5304527959885063,1.6087582887575564,-0.12710540458386055,Other,Graduates,Married,Sales,Spouse,White, Male,North-America
3545,-0.4845303705381449,1.6134167109874744,-0.024189968553741302,-0.12710540458386055,Private,Undergrad-complete,Never-married,Exec-managerial,Not-in-family,White, Female,North-America
2052,2.393570307145336,-0.5000686053766294,-0.8406640972093902,-0.12710540458386055,Private,Compulsory-education-complete,Married,Adm-clerical,Spouse,White, Male,North-America
2801,0.30694731582481216,2.8979509223034627,-0.024189968553741302,-0.12710540458386055,Private,Undergrad-complete,Once-Married,Exec-managerial,Unmarried,White, Female,North-America
1137,-0.5564828874802319,0.21346168156737544,2.0169953530853806,-0.12710540458386055,Private,Compulsory-education-complete,Married,Other-service,Spouse,White, Male,North-America
1892,0.09108976499855116,0.2019612132934817,-0.8406640972093902,-0.12710540458386055,Private,Compulsory-education-complete,Once-Married,Sales,Unmarried,White, Female,North-America
425,-0.916245472190667,-0.2422443737856623,-0.024189968553741302,-0.12710540458386055,Private,Undergrad-complete,Never-married,Adm-clerical,Own-child,White, Female,North-America
1953,-1.491865607727363,-0.20601222414973566,-2.3103175287895583,-0.12710540458386055,Private,Compulsory-education-incomplete,Never-married,Blue-Collar,Own-child,White, Female,North-America
3120,-0.4125778535960579,0.7997018348778809,-0.024189968553741302,-0.12710540458386055,Private,Graduates,Married,Prof-specialty,Spouse,White, Male,North-America
1869,-1.3479605738431888,-0.1837868126006812,0.6289893343707778,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Adm-clerical,Own-child,White, Male,North-America
3053,-0.4125778535960579,-0.05849223719562885,0.3840470957740832,-0.12710540458386055,Private,Undergrad-complete,Never-married,Prof-specialty,Not-in-family,White, Female,North-America
